Source Copybook,Source Record,Source Field Name,COBOL PIC Clause,Source Data Type,Source Length (bytes),Target Postgres Table,Target Column Name,Postgres Data Type,Transformation Notes,Nullable,Transformation Type,Transformation Rule,Default/Fallback Value,Validation Rules
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-ORIG-TS,PIC X(26),Alphanumeric timestamp,26,daily_transactions,orig_ts,TIMESTAMP,Parse 'YYYY-MM-DD HH:MM:SS.ffffff' to TIMESTAMP,No,Type Conversion,"TO_TIMESTAMP(TRIM(source_value), 'YYYY-MM-DD HH24:MI:SS.US'); same as TRAN-ORIG-TS",None - reject record if missing,NOT NULL; valid timestamp; must match format 'YYYY-MM-DD HH:MI:SS.ffffff'
CVTRA06Y.cpy,DALYTRAN-RECORD,DALYTRAN-PROC-TS,PIC X(26),Alphanumeric timestamp,26,daily_transactions,proc_ts,TIMESTAMP,Parse 'YYYY-MM-DD HH:MM:SS.ffffff' to TIMESTAMP; null if not yet processed,Yes,Type Conversion,"TO_TIMESTAMP(TRIM(source_value), 'YYYY-MM-DD HH24:MI:SS.US'); set NULL if source is all spaces or all zeros",NULL,Valid timestamp when not null; must be >= orig_ts when both present
CVTRA06Y.cpy,DALYTRAN-RECORD,FILLER,PIC X(20),Filler,20,daily_transactions,N/A,N/A,Not migrated - padding to RECLN 350,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 350. No data content.,N/A,N/A - verify total record length equals 350 bytes during extract validation
CVTRA03Y.cpy,TRAN-TYPE-RECORD,TRAN-TYPE,PIC X(02),Alphanumeric,2,transaction_types,type_cd,CHAR(2),Primary key; e.g. '01'=Purchase '02'=Payment '03'=Credit '04'=Authorization '05'=Refund,No,Direct Copy,Direct 1:1 copy; preserve 2-character code including leading zeros,None - reject record if missing,NOT NULL; UNIQUE; LENGTH(value) = 2; must be numeric string; CHECK(type_cd ~ '^\d{2}$')
CVTRA03Y.cpy,TRAN-TYPE-RECORD,TRAN-TYPE-DESC,PIC X(50),Alphanumeric,50,transaction_types,type_desc,VARCHAR(50),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 50
CVTRA03Y.cpy,TRAN-TYPE-RECORD,FILLER,PIC X(08),Filler,8,transaction_types,N/A,N/A,Not migrated - padding to RECLN 60,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 60. No data content.,N/A,N/A - verify total record length equals 60 bytes during extract validation
CVTRA04Y.cpy,TRAN-CAT-RECORD,TRAN-TYPE-CD,PIC X(02),Alphanumeric,2,transaction_categories,type_cd,CHAR(2),Composite PK part 1; FK to transaction_types.type_cd,No,Direct Copy,Direct 1:1 copy; preserve 2-character code,None - reject record if missing,NOT NULL; FK must exist in transaction_types.type_cd; LENGTH(value) = 2
CVTRA04Y.cpy,TRAN-CAT-RECORD,TRAN-CAT-CD,PIC 9(04),Numeric (unsigned),4,transaction_categories,cat_cd,SMALLINT,Composite PK part 2,No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(04) to integer,None - reject record if missing,"NOT NULL; value BETWEEN 1 AND 9999; composite UNIQUE(type_cd, cat_cd)"
CVTRA04Y.cpy,TRAN-CAT-RECORD,TRAN-CAT-TYPE-DESC,PIC X(50),Alphanumeric,50,transaction_categories,cat_desc,VARCHAR(50),Trim trailing spaces,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) > 0; LENGTH(value) <= 50
CVTRA04Y.cpy,TRAN-CAT-RECORD,FILLER,PIC X(04),Filler,4,transaction_categories,N/A,N/A,Not migrated - padding to RECLN 60,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 60. No data content.,N/A,N/A - verify total record length equals 60 bytes during extract validation
CVTRA01Y.cpy,TRAN-CAT-BAL-RECORD,TRANCAT-ACCT-ID,PIC 9(11),Numeric (unsigned),11,tran_category_balances,acct_id,BIGINT,Composite PK part 1; FK to accounts.acct_id,No,Type Conversion,CAST(TRIM(LEADING '0' FROM source_value) AS BIGINT); zoned decimal 9(11) to 64-bit integer,None - reject record if missing,NOT NULL; must be > 0; FK must exist in accounts.acct_id
CVTRA01Y.cpy,TRAN-CAT-BAL-RECORD,TRANCAT-TYPE-CD,PIC X(02),Alphanumeric,2,tran_category_balances,type_cd,CHAR(2),Composite PK part 2; FK to transaction_types.type_cd,No,Direct Copy,Direct 1:1 copy; preserve 2-character code,None - reject record if missing,NOT NULL; FK must exist in transaction_types.type_cd; LENGTH(value) = 2
CVTRA01Y.cpy,TRAN-CAT-BAL-RECORD,TRANCAT-CD,PIC 9(04),Numeric (unsigned),4,tran_category_balances,cat_cd,SMALLINT,Composite PK part 3; FK to transaction_categories,No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(04) to integer,None - reject record if missing,"NOT NULL; value BETWEEN 1 AND 9999; composite FK (type_cd, cat_cd) must exist in transaction_categories; composite UNIQUE(acct_id, type_cd, cat_cd)"
CVTRA01Y.cpy,TRAN-CAT-BAL-RECORD,TRAN-CAT-BAL,PIC S9(09)V99,Signed decimal (implied V),11,tran_category_balances,balance,"NUMERIC(11,2)",Convert EBCDIC sign-overpunch trailing byte,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table ('{'/'}' = +/-0, 'A'-'I'/'J'-'R' = +/-1..9). Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(11,2)",0.00,"NOT NULL; NUMERIC(11,2) range check; ABS(value) <= 999999999.99"
CVTRA01Y.cpy,TRAN-CAT-BAL-RECORD,FILLER,PIC X(22),Filler,22,tran_category_balances,N/A,N/A,Not migrated - padding to RECLN 50,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 50. No data content.,N/A,N/A - verify total record length equals 50 bytes during extract validation
CVTRA02Y.cpy,DIS-GROUP-RECORD,DIS-ACCT-GROUP-ID,PIC X(10),Alphanumeric,10,disclosure_groups,acct_group_id,VARCHAR(10),Composite PK part 1; links to accounts.group_id,No,Direct Copy + Trim,TRIM(TRAILING ' ' FROM source_value),None - reject record if missing,NOT NULL; LENGTH(value) > 0; must match at least one accounts.group_id
CVTRA02Y.cpy,DIS-GROUP-RECORD,DIS-TRAN-TYPE-CD,PIC X(02),Alphanumeric,2,disclosure_groups,tran_type_cd,CHAR(2),Composite PK part 2; FK to transaction_types.type_cd,No,Direct Copy,Direct 1:1 copy; preserve 2-character code,None - reject record if missing,NOT NULL; FK must exist in transaction_types.type_cd; LENGTH(value) = 2
CVTRA02Y.cpy,DIS-GROUP-RECORD,DIS-TRAN-CAT-CD,PIC 9(04),Numeric (unsigned),4,disclosure_groups,tran_cat_cd,SMALLINT,Composite PK part 3; FK to transaction_categories,No,Type Conversion,CAST(source_value AS SMALLINT); zoned decimal 9(04) to integer,None - reject record if missing,"NOT NULL; value BETWEEN 1 AND 9999; composite FK (tran_type_cd, tran_cat_cd) must exist in transaction_categories; composite UNIQUE(acct_group_id, tran_type_cd, tran_cat_cd)"
CVTRA02Y.cpy,DIS-GROUP-RECORD,DIS-INT-RATE,PIC S9(04)V99,Signed decimal (implied V),6,disclosure_groups,int_rate,"NUMERIC(6,2)",Convert EBCDIC sign-overpunch trailing byte; represents interest rate percentage,No,Type Conversion + Sign Decode,"EBCDIC sign-overpunch: decode trailing byte per overpunch table ('{'/'}' = +/-0, 'A'-'I'/'J'-'R' = +/-1..9). Insert implied decimal V before last 2 digits. CAST result AS NUMERIC(6,2). Example: '00150{' -> trailing '{' = +0 -> '001500' -> 0015.00 -> 15.00%",0.00,"NOT NULL; NUMERIC(6,2) range check; value BETWEEN 0.00 AND 9999.99; typical APR range 0.00-36.00; log warning if > 36.00"
CVTRA02Y.cpy,DIS-GROUP-RECORD,FILLER,PIC X(28),Filler,28,disclosure_groups,N/A,N/A,Not migrated - padding to RECLN 50,N/A,Skip (FILLER),Discard; COBOL FILLER padding bytes used for fixed-length record alignment to RECLN 50. No data content.,N/A,N/A - verify total record length equals 50 bytes during extract validation
